TC_Name,Stage,Lead_Day_or_Init_Time,Track_Error_24h_km,Track_Error_48h_km,Track_Error_72h_km,MSL_Error_hPa,Wind_Error_ms,Position_Error_Landfall_km
Ian 2022,2,00:00 UTC,12.0,7.6,94.5,7.0,-7.9,121.7
Ian 2022,2,06:00 UTC,30.7,65.8,133.7,8.2,-8.2,60.9
Ian 2022,2,12:00 UTC,42.5,75.9,191.6,7.9,-8.1,60.9
Ian 2022,2,18:00 UTC,5.6,59.2,101.2,3.6,-6.5,0.0
Ian 2022,1,1-day,22.4,N/A,N/A,2.3,-4.0,37.3
Ian 2022,1,3-day,5.6,59.2,101.2,3.6,-6.5,0.0
Ian 2022,1,5-day,36.4,24.7,107.1,2.0,-4.6,230.2
Ian 2022,1,7-day,46.7,15.5,44.5,-3.9,-0.4,113.8
Sandy 2012,2,00:00 UTC,33.8,11.1,216.7,5.3,-4.6,120.4
Sandy 2012,2,06:00 UTC,38.4,91.8,306.4,5.2,-3.6,154.7
Sandy 2012,2,12:00 UTC,70.7,150.0,N/A,5.0,-3.7,171.1
Sandy 2012,2,18:00 UTC,5.6,173.7,N/A,1.9,-2.4,113.3
Sandy 2012,1,1-day,21.5,N/A,N/A,3.6,-1.7,21.5
Sandy 2012,1,3-day,33.8,11.1,216.7,5.4,-0.9,243.2
Sandy 2012,1,5-day,65.9,14.8,72.5,9.1,-2.1,152.4
Sandy 2012,1,7-day,22.2,45.3,36.6,14.2,-4.3,145.3
Hinnamnor 2022,2,00:00 UTC,29.5,39.0,153.0,1.1,2.7,1695.8
Hinnamnor 2022,2,06:00 UTC,44.6,63.7,180.5,-2.1,4.2,1662.9
Hinnamnor 2022,2,12:00 UTC,34.9,58.8,251.3,-13.7,5.5,1928.8
Hinnamnor 2022,2,18:00 UTC,22.5,95.5,673.2,-3.3,4.5,1689.7
Hinnamnor 2022,1,1-day,N/A,N/A,N/A,-2.0,2.0,1180.8
Hinnamnor 2022,1,3-day,22.5,95.5,673.2,-3.3,4.5,1689.7
Hinnamnor 2022,1,5-day,20.5,39.0,148.1,-4.3,4.2,1925.0
Hinnamnor 2022,1,7-day,42.0,34.1,99.1,-8.1,3.9,1816.1
Amphan 2020,1,1-day,56.7,N/A,N/A,2.4,0.2,55.6
Amphan 2020,1,3-day,42.2,35.0,41.9,-6.3,4.5,27.8
Amphan 2020,1,5-day,24.5,66.9,61.9,-9.2,3.5,153.8
Amphan 2020,1,7-day,221.6,83.4,234.3,-7.6,6.6,346.1
Amphan 2020,2,00:00 UTC,27.5,70.6,56.5,-8.8,4.0,159.2
Amphan 2020,2,06:00 UTC,12.4,38.5,11.1,-6.6,4.5,27.8
Amphan 2020,2,12:00 UTC,42.2,35.0,41.9,-6.3,4.5,27.8
Amphan 2020,2,18:00 UTC,19.8,68.9,95.1,-6.9,3.4,87.3
